2024-11-19 08:33:45, ARP_Reply, 192.168.222.90, 5c:87:9c:e1:66:94, None
2024-12-05 11:25:13, ARP_Reply, 192.168.209.90, 5c:87:9c:e1:66:94, None
2024-12-05 11:42:32, ARP_Reply, 192.168.209.171, 5c:87:9c:e1:66:94, None
2024-12-05 11:43:53, ARP_Reply, 192.168.209.90, 5c:87:9c:e1:66:94, None
2024-12-05 11:44:01, ARP_Reply, 192.168.209.8, 12:22:af:a7:7b:03, None
2024-12-05 11:46:50, ARP_Reply, 192.168.209.171, 5c:87:9c:e1:66:94, None
2024-12-05 11:47:04, ARP_Reply, 192.168.209.90, 5c:87:9c:e1:66:94, None
2024-12-05 11:47:56, ARP_Reply, 192.168.209.171, b'ee-67-cd-24-4b-59 ', Duplicate MAC Detected
2024-12-05 12:05:43, ARP_Reply, 192.168.209.8, 12:22:af:a7:7b:03, None
2024-12-05 13:19:18, ARP_Reply, 192.168.209.171, 5c:87:9c:e1:66:94, None
2024-12-05 13:20:19, ARP_Reply, 192.168.209.28, 14:ac:60:4b:0c:a5, None
2024-12-05 13:24:14, ARP_Reply, 192.168.209.90, 5c:87:9c:e1:66:94, None
2024-12-05 13:24:58, ARP_Reply, 192.168.127.179, f2:1f:dd:8b:1f:5f, None
2024-12-05 13:25:03, ARP_Reply, 192.168.127.90, 5c:87:9c:e1:66:94, None
